Designator,Mid X,Mid Y,Layer,Rotation
C1,129.250000mm,-123.500000mm,Top,270
C2,136.700000mm,-102.150000mm,Top,90
C3,129.250000mm,-132.025000mm,Top,270
C4,133.750000mm,-87.750000mm,Top,0
C5,134.500000mm,-85.250000mm,Top,270
C6,164.000000mm,-108.650000mm,Top,0
C7,160.900000mm,-108.650000mm,Top,180
C8,133.812500mm,-93.150000mm,Top,0
C11,129.250000mm,-114.250000mm,Top,270
C12,116.250000mm,-86.750000mm,Top,270
C13,116.250000mm,-90.000000mm,Top,270
C14,122.250000mm,-89.500000mm,Top,270
C15,141.800000mm,-117.250000mm,Top,180
C16,137.300000mm,-119.750000mm,Top,180
C17,137.300000mm,-115.000000mm,Top,180
D1,131.500000mm,-127.962500mm,Top,90
D2,131.500000mm,-119.250000mm,Top,90
D3,160.000000mm,-92.500000mm,Top,90
D4,131.500000mm,-108.500000mm,Top,90
D5,116.250000mm,-77.250000mm,Top,90
D6,160.000000mm,-102.250000mm,Top,90
D7,147.200000mm,-134.850000mm,Top,90
D8,155.800000mm,-134.850000mm,Top,90
F1,118.500000mm,-82.500000mm,Top,180
J1,167.750000mm,-92.750000mm,Top,270
J2,167.750000mm,-102.750000mm,Top,270
J3,163.750000mm,-82.860000mm,Top,180
J6,146.500000mm,-82.860000mm,Top,180
J7,123.450000mm,-120.000000mm,Top,270
J8,123.450000mm,-128.500000mm,Top,270
J9,123.450000mm,-109.000000mm,Top,270
P1,128.100000mm,-73.500000mm,Top,180
Q1,131.600000mm,-90.525000mm,Top,0
Q2,127.650000mm,-90.525000mm,Top,180
Q9,118.475000mm,-73.000000mm,Top,0
R1,129.250000mm,-119.250000mm,Top,270
R2,123.300000mm,-93.350000mm,Top,90
R3,131.500000mm,-132.000000mm,Top,270
R4,129.250000mm,-128.025000mm,Top,270
R5,124.850000mm,-93.350000mm,Top,90
R6,145.550000mm,-134.800000mm,Top,90
R7,131.500000mm,-123.500000mm,Top,270
R8,129.000000mm,-87.925000mm,Top,0
R9,129.500000mm,-93.275000mm,Top,180
R10,157.800000mm,-108.650000mm,Top,180
R11,120.750000mm,-76.500000mm,Top,180
R12,153.000000mm,-134.850000mm,Top,90
R13,141.700000mm,-103.837500mm,Top,270
R14,129.250000mm,-108.500000mm,Top,270
R15,141.700000mm,-100.737500mm,Top,90
R17,131.500000mm,-114.250000mm,Top,270
R18,118.250000mm,-77.250000mm,Top,270
SW1,166.000000mm,-136.250000mm,Top,180
U1,156.150000mm,-119.250000mm,Top,270
U2,154.500000mm,-91.500000mm,Top,90
U3,128.250000mm,-83.000000mm,Top,270
U4,139.100000mm,-102.250000mm,Top,0
U5,137.300000mm,-122.000000mm,Top,0
U6,137.300000mm,-117.250000mm,Top,0
U7,141.800000mm,-119.500000mm,Top,0
U9,154.500000mm,-102.250000mm,Top,90
U11,119.500000mm,-87.250000mm,Top,270
U13,142.000000mm,-91.500000mm,Top,90
U14,148.250000mm,-91.500000mm,Top,90
